,Step_Size,Accuracy
0,0,0.09019999951124191
1,100,0.3970000147819519
2,200,0.421099990606308
3,300,0.49540001153945923
4,400,0.5187000036239624
5,500,0.5547999739646912
6,600,0.564300000667572
7,700,0.5659999847412109
8,800,0.5837000012397766
9,900,0.5954999923706055
10,1000,0.6223000288009644
11,1100,0.6284000277519226
12,1200,0.6298999786376953
13,1300,0.6407999992370605
14,1400,0.6294000148773193
15,1500,0.6579999923706055
16,1600,0.6568999886512756
17,1700,0.6694999933242798
18,1800,0.6585000157356262
19,1900,0.6708999872207642
20,2000,0.6692000031471252
21,2100,0.6748999953269958
22,2200,0.6845999956130981
23,2300,0.6764000058174133
24,2400,0.6843000054359436
25,2500,0.678600013256073
26,2600,0.6897000074386597
27,2700,0.6940000057220459
28,2800,0.6861000061035156
29,2900,0.6898000240325928
30,3000,0.6812000274658203
31,3100,0.6909000277519226
32,3200,0.6980000138282776
33,3300,0.6962000131607056
34,3400,0.6947000026702881
35,3500,0.6769000291824341
36,3600,0.7005000114440918
37,3700,0.6965000033378601
38,3800,0.6953999996185303
39,3900,0.7027000188827515
40,4000,0.6998000144958496
41,4100,0.7020999789237976
42,4200,0.701200008392334
43,4300,0.6933000087738037
44,4400,0.6949999928474426
45,4500,0.7092999815940857
46,4600,0.7042999863624573
47,4700,0.7088000178337097
48,4800,0.7059999704360962
49,4900,0.7102000117301941
