,0,Accuracy
0,0,0.12439999729394913
1,100,0.9417999982833862
2,200,0.9563000202178955
3,300,0.967199981212616
4,400,0.9728000164031982
5,500,0.9760000109672546
6,600,0.9754999876022339
7,700,0.9753999710083008
8,800,0.9815000295639038
9,900,0.9835000038146973
10,1000,0.9817000031471252
11,1100,0.9854999780654907
12,1200,0.9854000210762024
13,1300,0.9860000014305115
14,1400,0.9868000149726868
15,1500,0.9864000082015991
16,1600,0.9846000075340271
17,1700,0.9872000217437744
18,1800,0.9854000210762024
19,1900,0.986299991607666
20,2000,0.9879000186920166
21,2100,0.9882000088691711
22,2200,0.9869999885559082
23,2300,0.9901999831199646
24,2400,0.9869999885559082
25,2500,0.9882000088691711
26,2600,0.9896000027656555
27,2700,0.986299991607666
28,2800,0.9901000261306763
29,2900,0.987500011920929
30,3000,0.9904000163078308
31,3100,0.9897000193595886
32,3200,0.9896000027656555
33,3300,0.9890000224113464
34,3400,0.9914000034332275
35,3500,0.9904999732971191
36,3600,0.9902999997138977
37,3700,0.9879000186920166
38,3800,0.9891999959945679
39,3900,0.9876000285148621
40,4000,0.9915000200271606
41,4100,0.9894000291824341
42,4200,0.989799976348877
43,4300,0.9904000163078308
44,4400,0.9909999966621399
45,4500,0.989799976348877
46,4600,0.9911999702453613
47,4700,0.9891999959945679
48,4800,0.9882000088691711
49,4900,0.9898999929428101
